Jurong East,Bukit Batok,3
Bukit Batok,Bukit Gombak,2
Bukit Gombak,Choa Chu Kang,4
Choa Chu Kang,Yew Tee,3
Yew Tee,Kranji,5
Kranji,Marsiling,3
Marsiling,Woodlands,2
Woodlands,Admiralty,3
Admiralty,Sembawang,3
Sembawang,Canberra,3
Canberra,Yishun,3
Yishun,Khatib,2
Khatib,Yio Chu Kang,6
Yio Chu Kang,Ang Mo Kio,2
Ang Mo Kio,Bishan,4
Bishan,Braddell,2
Braddell,Toa Payoh,2
Toa Payoh,Novena,3
Novena,Newton,2
Newton,Orchard,3
Orchard,Somerset,2
Somerset,Dhoby Ghaut,2
Dhoby Ghaut,City Hall,3
City Hall,Raffles Place,2
Raffles Place,Marina Bay,2
Marina Bay,Marina South Pier,3
Pasir Ris,Tampines,3
Tampines,Simei,3
Simei,Tanah Merah,3
Tanah Merah,Expo,3
Tanah Merah,Bedok,3
Bedok,Kembangan,3
Kembangan,Eunos,3
Eunos,Paya Lebar,2
Paya Lebar,Aljunied,2
Aljunied,Kallang,3
Kallang,Lavender,2
Lavender,Bugis,3
Bugis,City Hall,2
City Hall,Raffles Place,2
Raffles Place,Tanjong Pagar,3
Tanjong Pagar,Outram Park,2
Outram Park,Tiong Bahru,3
Tiong Bahru,Redhill,2
Redhill,Queenstown,3
Queenstown,Commonwealth,2
Commonwealth,Buona Vista,2
Buona Vista,Dover,3
Dover,Clementi,3
Clementi,Jurong East,4
Jurong East,Chinese Garden,2
Chinese Garden,Lakeside,3
Lakeside,Boon Lay,3
Boon Lay,Pioneer,2
Pioneer,Joo Koon,3
Joo Koon,Gul Circle,3
Gul Circle,Tuas Crescent,3
Tuas Crescent,Tuas West Road,2
Tuas West Road,Tuas Link,2
Expo,Changi Airport,4
HarbourFront,Outram Park,4
Outram Park,Chinatown,1
Chinatown,Clarke Quay,2
Clarke Quay,Dhoby Ghaut,3
Dhoby Ghaut,Little India,2
Little India,Farrer Park,2
Farrer Park,Boon Keng,2
Boon Keng,Potong Pasir,3
Potong Pasir,Woodleigh,1
Woodleigh,Serangoon,2
Serangoon,Kovan,3
Kovan,Hougang,2
Hougang,Buangkok,2
Buangkok,Sengkang,2
Sengkang,Punggol,3
Dhoby Ghaut,Bras Basah,2
Bras Basah,Esplanade,2
Esplanade,Promenade,2
Promenade,Bayfront,2
Promenade,Nicoll Highway,2
Nicoll Highway,Stadium,2
Stadium,Mountbatten,2
Mountbatten,Dakota,2
Dakota,Paya Lebar,3
Paya Lebar,MacPherson,2
MacPherson,Tai Seng,2
Tai Seng,Bartley,2
Bartley,Serangoon,3
Serangoon,Lorong Chuan,2
Lorong Chuan,Bishan,3
Bishan,Marymount,3
Marymount,Caldecott,2
Caldecott,Botanic Gardens,5
Botanic Gardens,Farrer Road,2
Farrer Road,Holland Village,3
Holland Village,Buona Vista,2
Buona Vista,one-north,2
one-north,Kent Ridge,2
